food,serv,Weight,cal,carbs,prot,fat(g),sug,fib,Chol,Na,K,Ca,Fe,Vit D,Vit A,Vit C,B6,B12,Cu,E,Mg,Mn,Zn,Cu,P,Se,Retinol,Niacin,Choline
Nutricost Whey Protein Concentrate Powder,scoop,35g,130,3,25,2,1,0,75,290,140,180,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mango,cup,165g,107,28,0.84,0.45,24,2.97,0,3.3,257.4,16.5,0.21,0,1262.25,0,0.22,0,45.7,1.85,17.85,0.04,0.07,0.18,0,0.99,0,0.96,0
Banana,pc,150g,134,34,1.6,0.5,18,3.9,0,1.5,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pineapple Chunks,cup,166g,82,22,0.9,0.2,16.2,2.4,0,1.7,179.9,22,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strawberry,cup,144g,46.4,11,1,0.4,7,2.9,0,1.4,220.3,22.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blueberries,cup,148g,84,21,1.1,0.5,15,3.6,0,1.5,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peach,cup,154g,60,15,1.4,0.4,13,2.3,0,0,292.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nonfat Greek Yogurt,oz,1oz,16,2,2.2,0.1,1.9,0,1,9,24,20,0.01,0,0,0,0.02,0,0.006,0.01,6,0.002,0.26,0.006,29,0,0,0,0
Flaxseed ground,1 tbsp,7g,37,2,1.3,3,0.1,1.9,0,2.1,56.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chia seeds,1 tbsp,12g,58,5.1,2,3.7,0,4.1,0,1.9,48.8,76,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Old fashioned oats,1 cup,82g,306,54,10.6,5.2,1,8.2,0,4.8,293.2,42,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsweet Almondmilk,1 cup,1 cup,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Bell Pepper,1 cup,135g,38,9,1.2,0.3,4.3,1.6,0,2.7,224.1,12,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SW White Beans LS,can,130g,110,20,7,0,1,6,0,140,350,60,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SW Kidney Beans,can,130g,110,20,7,0,2,8,0,370,350,50,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bok Choy,lb,1lb,59,10,6.8,1,4,4,0,165,1100,315,2.1,0,2380,178,0.6,0,0,0,50,0.6,0,0,95,0,0,0,0
Kale,bunch,1lb,195,20.1,13.3,6.8,3.6,18.6,0,240,1580,1153,7.3,0,0,423,0.67,0,0,0,150,0,0,0,0,0,0,0,0
McCormick Brown Gravy Mix,serving,1packet,80,0,0,2,0,0,0,1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kikiman light soy sauce,1 tbsp,1 tbsp,10,1,1,0,0,0,0,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White Button Mushrooms (raw),lb,1lb,100,12,16,2,4,5,0,30,1350,16,2,0,5,20,0.6,0,0,0.5,40,0,2,0,350,0,0,0,0
Nasoya Extra Firm Organic Tofu,serving,1oz,30,1,3,1,0.3,0.3,0,2,31,43,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azumaya Tofu Extra Firm,serving,85g,80,2,8,4,1,1,0,5,60,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Vinegar,1 tbsp,15ml,5,1,1,0,0,0,0,116,65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olive Oil Extra Light,1 tbsp,15ml,120,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunflower seed,1 cup,140g,818,28,29,72,3.7,12,0,13,903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brown Sugar,1 cup,220g,836,216,0.3,0,213,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsalted butter stick,serving,113g,816,0.1,1,96,0,0,248,0,27.3,27.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicken Breast Raw No Skin,serving,1lb,650,2,114,26,0,0,305,286,1506,23,1.5,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chuck Roast,serving,1lb,1072,0,112,69.3,0,0,378.7,346.7,1396.3,80,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pork Butt,serving,1lb,1221,0,106,85,0,0,389,304,1505,128,604,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pork Tenderloin,serving,1lb,666.7,0,117,18.1,0,0,330.7,256,1899.5,27.2,5.2,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shrimp raw shelled,serving,1lb,481,4.13,92,7.8,0,0,689,671,839,236,10.93,17,245,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Winco Shrimp Frozen,serving,113g,60,0,14,0,0,0,150,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicken Liver,serving,1lb,540,3,77,21.9,0,0,1565,322,1043,36,40,0,15057,81,0,0,0,3.2,86,1.16,12.1,2.23,1347,248,15000,44.1,0
